Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event;Time_s;Age
101;00:01:43;David Rudisha;KEN;1988-12-17;1.0;Ad-Dawhah;2010-05-14;Men;800 m;103.0;21.41917808219178
104;00:01:43.010000;Wilson Kipketer;DEN;1970-12-12;1.0;Zürich;1999-11-08;Men;800 m;103.01;28.926027397260274
105;00:01:43.030000;Kenneth Kimwetich;KEN;1973-01-01;2.0;Stuttgart;1998-07-19;Men;800 m;103.03;25.561643835616437
105;00:01:43.030000;Nick Symmonds;USA;1983-12-30;2.0;Bruxelles;2013-06-09;Men;800 m;103.03;29.46301369863014
107;00:01:43.050000;Wilfred Bungei;KEN;1980-07-24;1.0;Hengelo;2003-01-06;Men;800 m;103.05;22.46849315068493
107;00:01:43.050000;Jonathan Kitilit;KEN;1994-04-24;3.0;Saint-Denis;2016-08-27;Men;800 m;103.05;22.35890410958904
109;00:01:43.060000;Billy Konchellah;KEN;1961-10-20;1.0;Roma;1987-01-09;Men;800 m;103.06;25.23835616438356
109;00:01:43.060000;Wilfred Bungei;KEN;1980-07-24;1.0;Zürich;2004-06-08;Men;800 m;103.06;23.89041095890411
111;00:01:43.070000;Sebastian Coe;GBR;1956-09-29;2.0;Köln;1985-08-25;Men;800 m;103.07;28.923287671232877
111;00:01:43.070000;Yeimer López;CUB;1982-08-20;1.0;Jerez de la Frontera;2008-06-24;Men;800 m;103.07;25.863013698630137
113;00:01:43.080000;José Luis Barbosa;BRA;1961-05-27;1.0;Rieti;1991-06-09;Men;800 m;103.08;30.054794520547944
113;00:01:43.080000;Ayanleh Souleiman;DJI;1992-12-03;1.0;Barcelona;2015-08-07;Men;800 m;103.08;22.69041095890411
115;00:01:43.090000;Japheth Kimutai;KEN;1978-12-20;2.0;Monaco;1999-04-08;Men;800 m;103.09;20.312328767123287
115;00:01:43.090000;Djabir Said-Guerni;ALG;1977-03-29;5.0;Bruxelles;1999-03-09;Men;800 m;103.09;21.958904109589042
115;00:01:43.090000;Mbulaeni Mulaudzi;RSA;1980-09-08;1.0;Rieti;2006-08-27;Men;800 m;103.09;25.983561643835618
115;00:01:43.090000;Abubaker Kaki Khamis;SUD;1989-06-21;1.0;Ad-Dawhah;2009-08-05;Men;800 m;103.09;20.136986301369863
119;00:01:43.100000;Johnny Gray;USA;1960-06-19;1.0;Hengelo;1988-08-14;Men;800 m;103.1;28.172602739726027
119;00:01:43.100000;Abubaker Kaki Khamis;SUD;1989-06-21;1.0;Hengelo;2009-01-06;Men;800 m;103.1;19.55890410958904
119;00:01:43.100000;Abubaker Kaki Khamis;SUD;1989-06-21;1.0;Monaco;2010-07-22;Men;800 m;103.1;21.0986301369863
119;00:01:43.100000;David Rudisha;KEN;1988-12-17;1.0;Ad-Dawhah;2012-11-05;Men;800 m;103.1;23.9013698630137
123;00:01:43.110000;Wilson Kipketer;DEN;1970-12-12;1.0;Oslo;1999-06-30;Men;800 m;103.11;28.567123287671233
123;00:01:43.110000;Youssef Saad Kamel;BRN;1983-03-29;1.0;Zürich;2004-06-08;Men;800 m;103.11;21.21095890410959
123;00:01:43.110000;Nijel Amos;BOT;1994-03-15;1.0;Mannheim;2012-09-06;Men;800 m;103.11;18.493150684931507
126;00:01:43.120000;André Bucher;SUI;1976-10-19;1.0;Lausanne;2000-05-07;Men;800 m;103.12;23.564383561643837
126;00:01:43.120000;Hezekiél Sepeng;RSA;1974-06-30;3.0;Bruxelles;2003-05-09;Men;800 m;103.12;28.876712328767123
128;00:01:43.130000;Wilson Kipketer;DEN;1970-12-12;1.0;Byrkjelo;1996-06-16;Men;800 m;103.13;25.528767123287672
128;00:01:43.130000;Abubaker Kaki Khamis;SUD;1989-06-21;2.0;London;2011-05-08;Men;800 m;103.13;21.893150684931506
128;00:01:43.130000;Abraham Rotich;KEN;1993-06-26;1.0;Monaco;2012-07-20;Men;800 m;103.13;19.07945205479452
131;00:01:43.150000;Japheth Kimutai;KEN;1978-12-20;4.0;Rieti;2002-08-09;Men;800 m;103.15;23.65205479452055
131;00:01:43.150000;Mehdi Baala;FRA;1978-08-17;5.0;Rieti;2002-08-09;Men;800 m;103.15;23.994520547945207
131;00:01:43.150000;David Rudisha;KEN;1988-12-17;1.0;Melbourne;2010-04-03;Men;800 m;103.15;21.306849315068494
131;00:01:43.150000;Asbel Kiprop;KEN;1989-06-30;2.0;Monaco;2011-07-22;Men;800 m;103.15;22.073972602739726
131;00:01:43.150000;Abraham Rotich;KEN;1993-06-26;1.0;Heusden-Zolder;2012-08-07;Men;800 m;103.15;19.12876712328767
136;00:01:43.160000;Paul Ereng;KEN;1967-08-22;1.0;Zürich;1989-08-16;Men;800 m;103.16;22.0
136;00:01:43.160000;Hezekiél Sepeng;RSA;1974-06-30;3.0;Monaco;1999-04-08;Men;800 m;103.16;24.78904109589041
138;00:01:43.170000;Benson Koech;KEN;1974-11-10;1.0;Rieti;1994-08-28;Men;800 m;103.17;19.81095890410959
138;00:01:43.170000;Yuriy Borzakovskiy;RUS;1981-04-12;2.0;Monaco;2001-07-20;Men;800 m;103.17;20.284931506849315
138;00:01:43.170000;Asbel Kiprop;KEN;1989-06-30;2.0;Ad-Dawhah;2009-08-05;Men;800 m;103.17;20.112328767123287
141;00:01:43.180000;Wilson Kipketer;DEN;1970-12-12;2.0;Zürich;1998-12-08;Men;800 m;103.18;28.008219178082193
142;00:01:43.190000;Steve Cram;GBR;1960-10-14;1.0;Rieti;1986-07-09;Men;800 m;103.19;25.75068493150685
142;00:01:43.190000;Hezekiél Sepeng;RSA;1974-06-30;3.0;Köln;1997-08-24;Men;800 m;103.19;23.167123287671235
144;00:01:43.200000;José Luis Barbosa;BRA;1961-05-27;2.0;Zürich;1988-08-17;Men;800 m;103.2;27.243835616438357
144;00:01:43.200000;Mark Everett;USA;1968-09-02;1.0;Linz;1997-09-07;Men;800 m;103.2;29.03287671232877
144;00:01:43.200000;Mohammed Aman;ETH;1994-01-10;6.0;London;2012-09-08;Men;800 m;103.2;18.673972602739727
147;00:01:43.210000;Patrick Ndururi;KEN;1969-01-12;3.0;Zürich;1998-12-08;Men;800 m;103.21;29.923287671232877
148;00:01:43.220000;Steve Cram;GBR;1960-10-14;1.0;Edinburgh;1986-07-31;Men;800 m;103.22;25.81095890410959
148;00:01:43.220000;Paul Ereng;KEN;1967-08-22;1.0;Nice;1989-10-07;Men;800 m;103.22;22.14246575342466
148;00:01:43.220000;Pawel Czapiewski;POL;1978-03-30;5.0;Zürich;2001-08-17;Men;800 m;103.22;23.4
148;00:01:43.220000;Ferguson Cheruiyot;KEN;1989-11-30;3.0;Bruxelles;2013-06-09;Men;800 m;103.22;23.53972602739726
152;00:01:43.230000;Joaquim Cruz;BRA;1963-03-12;2.0;Zürich;1985-08-21;Men;800 m;103.23;22.46027397260274
153;00:01:43.240000;Wilfred Bungei;KEN;1980-07-24;1.0;Ostrava;2003-12-06;Men;800 m;103.24;23.383561643835616
154;00:01:43.250000;Vebjørn Rodal;NOR;1972-09-16;1.0;London;1996-12-07;Men;800 m;103.25;24.24109589041096
154;00:01:43.250000;Djabir Said-Guerni;ALG;1977-03-29;1.0;Bruxelles;2000-08-25;Men;800 m;103.25;23.424657534246574
154;00:01:43.250000;Mbulaeni Mulaudzi;RSA;1980-09-08;1.0;Rehlingen;2003-09-06;Men;800 m;103.25;23.008219178082193
154;00:01:43.250000;Amine Laâlou;MAR;1982-05-13;1.0;Roma;2006-07-14;Men;800 m;103.25;24.186301369863013
154;00:01:43.250000;David Rudisha;KEN;1988-12-17;1.0;Lausanne;2010-08-07;Men;800 m;103.25;21.65205479452055
159;00:01:43.260000;Sammy Kibet Langat;KEN;1970-01-24;1.0;Zürich;1996-08-14;Men;800 m;103.26;26.572602739726026
159;00:01:43.260000;Mbulaeni Mulaudzi;RSA;1980-09-08;3.0;Monaco;2008-07-29;Men;800 m;103.26;27.90684931506849
161;00:01:43.270000;David Rudisha;KEN;1988-12-17;1.0;Split;2010-05-09;Men;800 m;103.27;21.405479452054795
161;00:01:43.270000;Duane Solomon;USA;1984-12-28;1.0;Des Moines;2013-06-23;Men;800 m;103.27;28.504109589041096
161;00:01:43.270000;Nijel Amos;BOT;1994-03-15;1.0;Lausanne;2015-09-07;Men;800 m;103.27;21.495890410958904
164;00:01:43.280000;Johnny Gray;USA;1960-06-19;2.0;Bruxelles;1984-08-24;Men;800 m;103.28;24.197260273972603
164;00:01:43.280000;Johnny Gray;USA;1960-06-19;3.0;Köln;1984-08-26;Men;800 m;103.28;24.202739726027396
164;00:01:43.280000;Sammy Koskei;KEN;1961-05-14;2.0;Koblenz;1984-08-29;Men;800 m;103.28;23.30958904109589
164;00:01:43.280000;Wilson Kipketer;DEN;1970-12-12;4.0;Bruxelles;2003-05-09;Men;800 m;103.28;32.42739726027397
164;00:01:43.280000;Nijel Amos;BOT;1994-03-15;1.0;Berlin;2015-06-09;Men;800 m;103.28;21.24931506849315
169;00:01:43.290000;Wilson Kipketer;KEN;1970-12-12;1.0;Oslo;1994-07-22;Men;800 m;103.29;23.624657534246577
169;00:01:43.290000;William Yiampoy;KEN;1974-05-17;2.0;Zürich;2004-06-08;Men;800 m;103.29;30.08219178082192
169;00:01:43.290000;Boaz Lalang;KEN;1989-02-08;2.0;Monaco;2010-07-22;Men;800 m;103.29;21.46301369863014
169;00:01:43.290000;Mbulaeni Mulaudzi;RSA;1980-09-08;3.0;Monaco;2010-07-22;Men;800 m;103.29;29.887671232876713
173;00:01:43.300000;William Tanui;KEN;1964-02-22;2.0;Rieti;1991-06-09;Men;800 m;103.3;27.312328767123287
173;00:01:43.300000;Wilson Kipketer;DEN;1970-12-12;1.0;Sevilla;1999-08-29;Men;800 m;103.3;28.731506849315068
173;00:01:43.300000;Yuriy Borzakovskiy;RUS;1981-04-12;6.0;Zürich;2001-08-17;Men;800 m;103.3;20.361643835616437
173;00:01:43.300000;Adam Kszczot;POL;1989-09-02;2.0;Rieti;2011-10-09;Men;800 m;103.3;22.115068493150684
177;00:01:43.310000;Nixon Kiprotich;KEN;1962-12-04;1.0;Rieti;1992-06-09;Men;800 m;103.31;29.534246575342465
177;00:01:43.310000;André Bucher;SUI;1976-10-19;2.0;Bruxelles;2000-08-25;Men;800 m;103.31;23.865753424657534
177;00:01:43.310000;Wilfred Bungei;KEN;1980-07-24;2.0;Rieti;2006-08-27;Men;800 m;103.31;26.10958904109589
177;00:01:43.310000;Mohammed Aman;ETH;1994-01-10;1.0;Moskva;2013-08-13;Men;800 m;103.31;19.602739726027398
177;00:01:43.310000;David Rudisha;KEN;1988-12-17;1.0;Berlin;2016-03-09;Men;800 m;103.31;27.243835616438357
182;00:01:43.320000;Hezekiél Sepeng;RSA;1974-06-30;2.0;Sevilla;1999-08-29;Men;800 m;103.32;25.18082191780822
182;00:01:43.320000;Djabir Said-Guerni;ALG;1977-03-29;2.0;Lausanne;2000-05-07;Men;800 m;103.32;23.123287671232877
182;00:01:43.320000;Abubaker Kaki Khamis;SUD;1989-06-21;7.0;London;2012-09-08;Men;800 m;103.32;23.232876712328768
185;00:01:43.330000;Johnny Gray;USA;1960-06-19;3.0;Köln;1985-08-25;Men;800 m;103.33;25.2
185;00:01:43.330000;Robert Kibsubai Chirchir;KEN;1972-11-26;3.0;Stuttgart;1998-07-19;Men;800 m;103.33;25.660273972602738
185;00:01:43.330000;William Chirchir;KEN;1979-02-06;6.0;Bruxelles;1999-03-09;Men;800 m;103.33;20.0986301369863
185;00:01:43.330000;Joseph Mutua Mwengi;KEN;1978-12-10;1.0;Zürich;2002-08-16;Men;800 m;103.33;23.698630136986303
185;00:01:43.330000;Mohammed Aman;ETH;1994-01-10;1.0;Lausanne;2013-04-07;Men;800 m;103.33;19.252054794520546
190;00:01:43.340000;José Luis Barbosa;BRA;1961-05-27;1.0;Koblenz;1988-08-28;Men;800 m;103.34;27.273972602739725
190;00:01:43.340000;Wilson Kipketer;DEN;1970-12-12;1.0;Berlin;1996-08-30;Men;800 m;103.34;25.734246575342464
190;00:01:43.340000;André Bucher;SUI;1976-10-19;1.0;Saint-Denis;2001-06-07;Men;800 m;103.34;24.649315068493152
190;00:01:43.340000;Asbel Kiprop;KEN;1989-06-30;1.0;Saint-Denis;2014-05-07;Men;800 m;103.34;24.86849315068493
190;00:01:43.340000;David Rudisha;KEN;1988-12-17;1.0;Glasgow;2014-12-07;Men;800 m;103.34;25.98904109589041
190;00:01:43.340000;Boris Berian;USA;1992-12-19;4.0;Monaco;2015-07-17;Men;800 m;103.34;22.589041095890412
196;00:01:43.350000;David Mack;USA;1961-05-30;3.0;Koblenz;1985-08-28;Men;800 m;103.35;24.263013698630136
196;00:01:43.350000;Wilson Kipketer;DEN;1970-12-12;3.0;Bruxelles;2000-08-25;Men;800 m;103.35;29.723287671232878
196;00:01:43.350000;Joseph Mutua Mwengi;KEN;1978-12-10;1.0;Rieti;2004-05-09;Men;800 m;103.35;25.43013698630137
196;00:01:43.350000;David Rudisha;KEN;1988-12-17;1.0;Székesfehérvár;2016-07-18;Men;800 m;103.35;27.602739726027398
200;00:01:43.360000;Johnny Gray;USA;1960-06-19;1.0;Zürich;1995-08-16;Men;800 m;103.36;35.18082191780822
200;00:01:43.360000;William Yiampoy;KEN;1974-05-17;2.0;Bruxelles;2002-08-30;Men;800 m;103.36;28.306849315068494
200;00:01:43.360000;Amine Laâlou;MAR;1982-05-13;2.0;Hengelo;2009-01-06;Men;800 m;103.36;26.671232876712327
203;00:01:43.370000;William Tanui;KEN;1964-02-22;2.0;Rieti;1992-06-09;Men;800 m;103.37;28.315068493150687
203;00:01:43.370000;Mohammed Aman;ETH;1994-01-10;3.0;Rieti;2011-10-09;Men;800 m;103.37;17.756164383561643
203;00:01:43.370000;Nicholas Kipkoech;KEN;1992-10-22;1.0;Nairobi;2016-04-29;Men;800 m;103.37;23.534246575342465
206;00:01:43.380000;Nixon Kiprotich;KEN;1962-12-04;2.0;Zürich;1989-08-16;Men;800 m;103.38;26.71780821917808
206;00:01:43.380000;Sebastian Coe;GBR;1956-09-29;1.0;Bern;1989-08-29;Men;800 m;103.38;32.93698630136986
